Comment,Designator,Footprint,Quantity,Manufacturer,MPN,Description
100uF 1206,"C2,C4",1206,2,Yageo,CC1206MKX5R5BB107,MLCC
10uF 0603,"C1,C8,C25,C29,C31,C33,C37",0603,7,Murata,GRM188C80G106KE47D,MLCC
2.2uF 0402,"C32,C35,C36,C38,C40",0402,5,Murata,GRM155C80J225ME95D,MLCC
2.2uF 0402,C39,0402,1,Murata,GRM155R61C225KE44D,MLCC
1uF 0402,"C6,C7,C14,C17,C18,C19,C21,C22,C27",0402,9,Yageo,CC0402KRX7R5BB105,MLCC
0.1uF 0402,"C5,C10,C12,C13,C15,C24,C28",0402,7,Yageo,CC0402KRX7R7BB104,MLCC
0.01uF 0402,C30,0402,1,Yageo,CC0402KRX7R7BB103,MLCC
0.001uF 0402,C16,0402,1,Yageo,CC0402KRX7R7BB102,MLCC
18pF 0402,"C20,C23",0402,2,Yageo,CC0402JRNPO9BN180,MLCC
2.2K SM,"R1,R2,R3,R4,R6",SM,5,BOURNS,CAY16-2201F4LF,4 R-ARRAY
0.001uF SM,"C3,C9,C11,C26,C34",SM,5,TDK,CKCL44X7R1H102M085AA,4 CAP ARRAY
ST ACCELEROMETER,U1,LGA,1,ST,LIS3DHTR ,ST ACCELEROMETER
OR_GATE,U2,SM,1,TI,SN74LVC1G32DCKR, OR_GATE
V INVERTER,U3,SOT-23-6,1,TI,LM2664M6/NOPB,V INVERTER
+2.5V LDO REG,U4,SOT-23-5,1,TI,TLV70025QDDCRQ1,+2.5V LDO REG
3V3 LDO REG,U5,SM,1,Microchip,MCP1754T-3302E/OT,3V3 LDO REG
ADS1299,U6,TQFP-64,1,TI,ADS1299IPAG,ADS1299
PIC32 MICROCONTROLLER,U7,SSOP-28,1,Microchip,PIC32MX250F128B-I/SS,PIC32 MICROCONTROLLER
-2.5 LDO REG,VR1,SM,1,TI,TPS72325DBVR,-2.5 LDO REG
BTLE Module,BLE1,SM,1,RF DIGITAL,RFD22301,BTLE Module
LED 0603,D1,0603,1,Lite-On,LTST-C193TBKT-5A ,BLUE LED
DIODE,D8,0603,2,Comchip,CDSU400B,DIODE
DIODE,D9,0603,1,Comchip,CDBU0130L,DIODE
TI QUAD TVS,"D2,D3,D4,D5,D6,D7",SM,6,TI,TPD4E1B06DCKR,TI QUAD TVS
3V SOD-923,D10,SOD-923,1,Comchip,CZRQR52C3-HF,3V Zener Diode
1K 0402,R8,0402,1,Yageo,RT0402FRE071KL,Resistor
1M 0402,R5,0402,1,Yageo,RC0402JR-071ML,Resistor
470K 0402,"R7,R9，R11",0402,3,Yageo,RC0402JR-07470KL,Resistor
8MHz SM,X1,SM,1,ABRACON,ABMM2-8.000MHZ-E2-T ,8MHz XTAL
CONN HEADER PH SIDE 2POS 2MM SMD,B1,SM,1,JST Sales,S2B-PH-SM4-TB(LF)(SN),CONN HEADER PH SIDE 2POS 2MM SMD
SP3T SLIDE SWITCH,SW2,SM,1,COPAL,CUS-13TB ,SP3T SLIDE SWITCH
TACT SWITCH,"SW1,SW3",SM,2,C&K,PTS810 SJK 250 SMTR LFS ,TACT SWITCH
microSD card slot,CONN1,SM,1,SUNTECH,ST-TF-003A,microSD card slot
"Dual 11 x 2  0.1"" pitch MALE header row Right Angle",PL1,DIP,1,Wurth,61302221021,"Dual 11 x 2  0.1"" pitch MALE header row Right Angle"
10K 0402,R10,0402,1,Yageo,RC0402JR-0710KL,Resistor
